0,22.009,49.26,0+57.527i,0+55.207i,33.867,0+46.268i,26.375,NaN,0+60.567i,16.033,0+57.864i,35.766,11.461,0+21.321i,56.858,0+37.5i,0+45.288i,670.73,128.84,0+140.73i,0+65.972i,0+94.042i,0+88.129i,0+7.7007i
558,60.648,35.171,0+32.455i,0+39.383i,0+69.369i,53.191,11.623,NaN,0+77.507i,56.008,63.601,0+60.002i,0+59.863i,0+59.684i,0+41.506i,0+68.443i,0+63.373i,0+43.38i,0+12.286i,34.362,0+39.991i,73.833,0+39.917i,0+61.447i
564,44.561,24.543,28.533,0+28.671i,51.41,0+65.029i,0+58.014i,NaN,0+68.455i,0+66.744i,0+70.489i,0+48.431i,49.666,42.119,26.763,0+46.274i,20.713,53.665,0+66.614i,70.894,74.138,0+58.15i,0+30.627i,60.076
570,197.2,108.79,32.401,58.452,164.34,182.89,198.84,NaN,16.916,53.047,33.1,86.43,93.184,57.027,63.185,0+20.692i,174.2,180.04,70.176,145.03,161.91,101.38,87.285,83.003
576,336.3,309.82,353.03,371.61,426.94,346.53,347.23,NaN,233.46,235.97,219.25,250.69,304.34,264.43,287.81,194.49,364.46,396.42,401.83,419.87,359.42,386.18,362.26,115.26
582,497.26,432.77,536.75,541.24,548.84,538.67,473.89,NaN,399.37,375.4,344.44,393.65,417.89,439.99,431.05,340.48,568.33,595.7,548.16,595.17,616.3,584.89,489.82,286.61
588,544.54,583.88,617.19,628.33,650.37,624.31,612.24,NaN,470.93,442.98,429.6,496.95,475.58,499.12,555.52,378.4,668.21,715.25,686.74,709.27,693.74,709.52,631.62,367.89
594,612.15,624.97,693.08,700.04,693.93,693.98,699.01,NaN,549.19,478.92,437.09,550.95,536.91,545.44,562.91,431.25,765.39,769.8,792.94,808.88,803.89,846.13,738.02,366.96
600,669.54,658.91,737.06,758.59,789.08,702.2,720.58,NaN,592.37,543.07,491.59,611.79,590.89,603.11,632.76,491.76,821.08,849.46,867.18,875.81,892.13,861.01,824.44,377.21
606,714.07,740.36,770.96,809.69,813.09,785.07,815.17,NaN,602.84,618.68,522.17,651.91,618.52,644.25,668.84,468.23,887.52,914.14,914.11,989.44,942.66,937.02,853.53,428.46
612,722.28,792.91,826.36,828.46,897.04,796.01,882.08,NaN,636.06,619.47,563.55,679.71,693.41,677.2,740.25,531.21,910.44,945.46,987.71,983.44,1009.9,997.52,951.98,436.82
618,760.36,824.4,887.31,889.82,924.11,896.07,916.58,NaN,664.22,693.65,601.43,702.16,725.69,720.73,745.54,601.54,937.59,1012.6,1011.8,1066.3,1063.3,1068.6,982.09,492.51
624,876.04,925.13,934.1,971.05,1006.8,948.16,993.48,NaN,750.99,735.1,662.78,773.74,779.51,768.29,805.23,609.94,1060.8,1083.2,1107.7,1163.4,1097.6,1125.1,1014.7,485.93
630,961.7,1000.9,1034.3,1077.4,1076.6,986.84,999.98,NaN,797.18,810.47,732.3,810.64,823.88,842.62,871.02,622.46,1144.7,1149.3,1190,1194.2,1213.6,1209.5,1172.1,500.06
636,995.62,1098.3,1121.8,1171,1160.7,1097.7,1127.9,NaN,864,826.72,773.95,902.3,877.67,894.13,955.15,690.03,1217.2,1239.4,1250.6,1288.9,1284,1231.4,1205,532.1
642,1081.7,1169.3,1208.1,1241,1235.6,1138.5,1224.8,NaN,900.5,919.75,824.42,918.38,923.58,940.22,991.08,770.57,1312.7,1326.5,1389,1385.9,1407.5,1375.2,1308,601.42
648,1147.5,1222.3,1261.1,1315,1301.4,1254.3,1278.8,NaN,1003.2,962.55,896.54,978.64,974.88,1004.7,1042.1,803.75,1387.6,1400.7,1435.9,1454.1,1476.7,1388.6,1299.8,638.52
654,1236.9,1340.8,1355.1,1395.4,1361.9,1327.2,1337.6,NaN,1017.3,1009.8,926.65,1056.8,1046.8,1058.9,1124.5,809.44,1450,1509.6,1504.8,1533.4,1523.5,1515.7,1398.7,681.65
660,1299.8,1355.6,1432.4,1445.8,1457.8,1367.6,1412,NaN,1092.9,1089.5,973.14,1090.6,1075.6,1109.4,1155.8,903.16,1539.5,1566.1,1568,1609.8,1589.4,1550.1,1483.9,684.86
